PID CMD
2276 /usr/libexec/gvfs-afc-volume-monitor
2289 /usr/libexec/gvfs-mtp-volume-monitor
2297 /usr/libexec/evolution-addressbook-factory
2312 /usr/libexec/gsd-printer
2339 /usr/libexec/ibus-engine-simple
2363 /usr/libexec/dconf-service
2381 /usr/libexec/gvfsd-metadata
2382 /usr/libexec/gvfsd-trash
2410 /usr/libexec/tracker-miner-fs-3
2431 /usr/bin/gjs
2505 /usr/libexec/xdg-desktop-portal
2510 /usr/libexec/xdg-desktop-portal-gnome
2534 /usr/libexec/xdg-desktop-portal-gtk
2584 /usr/libexec/gnome-terminal-server
2591 bash
2637 /usr/bin/update-notifier
2698 /usr/bin/nautilus
2717 /usr/bin/Xwayland
2721 /usr/libexec/gsd-xsettings
2744 /usr/libexec/ibus-x11
2746 /usr/libexec/mutter-x11-frames
2775 /usr/libexec/gvfsd-recent
2794 /usr/bin/gnome-text-editor
2893 /usr/bin/ssh-agent
3066 /usr/libexec/fwupd/fwupd
3587 ssh-agent
4050 /usr/lib/systemd/systemd-resolved
4346 /usr/lib/snapd/snap-failure
4359 /snap/snapd/21465/usr/lib/snapd/snapd
7003 /usr/lib/systemd/systemd-timesyncd
7023 /usr/lib/systemd/systemd-logind
7077 /usr/lib/systemd/systemd-udevd
7078 /usr/lib/systemd/systemd-oomd
7079 [psimon]
7754 [kworker/u4:0-ext4-rsv-conversion]
8095 /usr/bin/snap
9690 /snap/firefox/4793/usr/lib/firefox/firefox
9811 /snap/firefox/4793/usr/lib/firefox/firefox
9837 /snap/firefox/4793/usr/lib/firefox/firefox
10018 /snap/firefox/4793/usr/lib/firefox/firefox
10339 /snap/firefox/4793/usr/lib/firefox/firefox
10348 /snap/firefox/4793/usr/lib/firefox/firefox
10352 /snap/firefox/4793/usr/lib/firefox/firefox
10369 /snap/firefox/4793/usr/lib/firefox/firefox
10415 /snap/firefox/4793/usr/lib/firefox/firefox
10613 /usr/libexec/gvfsd-network
10630 /usr/libexec/gvfsd-dnssd
